datetime,low,high,open,close,volumefrom,volumeto
2020-07-11,44.0,44.74,44.32,44.74,14781.33,655147.05
2020-07-12,43.65,45.25,44.74,44.66,30731.4,1370388.08
2020-07-13,42.52,45.53,44.66,43.91,40689.36,1804691.02
2020-07-14,42.9,44.07,43.91,43.88,17586.67,765286.46
2020-07-15,42.85,44.05,43.88,43.27,26397.88,1144136.76
2020-07-16,40.81,43.43,43.27,42.08,47806.99,2005583.51
2020-07-17,41.65,42.43,42.08,41.86,24092.04,1011379.21
2020-07-18,41.73,42.91,41.86,42.46,17778.07,752807.66
2020-07-19,41.9,42.89,42.46,42.67,11514.79,487040.67
2020-07-20,41.44,42.76,42.67,41.98,15947.36,671402.89
2020-07-21,41.98,44.13,41.98,43.81,27729.92,1206689.39
2020-07-22,43.22,45.19,43.81,45.09,37909.11,1670073.81
2020-07-23,44.57,45.67,45.09,45.0,48500.86,2185548.87
2020-07-24,44.0,45.0,45.0,44.21,27264.87,1211097.35
2020-07-25,44.08,49.6,44.21,49.16,92310.07,4393836.9
2020-07-26,47.65,50.86,49.16,48.09,81290.22,3970914.64
2020-07-27,46.94,55.99,48.09,53.36,180516.11,9171777.16
2020-07-28,51.71,57.94,53.36,55.91,109432.04,5993658.71
2020-07-29,54.58,56.99,55.91,55.22,90462.32,5056651.01
2020-07-30,53.9,58.67,55.22,56.8,102035.02,5704284.81
2020-07-31,55.8,59.24,56.8,58.2,72082.29,4154482.75
2020-08-01,57.63,62.38,58.2,61.68,109499.71,6597589.52
2020-08-02,51.92,65.29,61.68,56.85,133090.93,7813293.08
2020-08-03,55.65,60.11,56.85,58.55,59257.69,3458208.46
2020-08-04,56.38,59.64,58.55,57.64,51258.8,2968420.48
2020-08-05,56.76,59.89,57.64,58.91,62805.91,3686490.63
2020-08-06,57.76,60.73,58.91,59.07,53998.74,3201226.69
2020-08-07,54.69,61.11,59.07,57.24,99706.47,5846904.23
2020-08-08,56.55,58.61,57.24,58.5,23020.26,1328515.98
2020-08-09,56.12,58.77,58.5,57.0,26656.36,1526555.16
2020-08-10,55.75,59.49,57.0,58.4,45746.7,2657732.94
2020-08-11,52.4,59.74,58.4,54.15,80317.54,4500777.3
2020-08-12,51.5,55.09,54.15,54.52,50103.88,2710411.79
2020-08-13,51.87,57.42,54.52,57.08,43559.94,2374819.64
2020-08-14,55.98,57.94,57.08,56.72,33558.71,1904714.09
2020-08-15,56.42,60.88,56.72,59.97,39628.81,2349147.08
2020-08-16,57.72,65.0,59.97,63.87,79369.27,4910651.11
2020-08-17,61.43,68.98,63.87,67.31,107468.27,7006124.83
2020-08-18,63.36,68.52,67.31,65.53,83274.6,5509346.42
2020-08-19,58.9,67.13,65.53,62.14,96119.42,5976321.28
2020-08-20,61.1,63.69,62.14,62.92,47533.83,2969366.48
2020-08-21,58.83,63.88,62.92,59.12,61349.98,3753205.41
2020-08-22,57.74,60.54,59.12,60.26,41142.94,2438195.21
2020-08-23,58.02,61.62,60.26,60.56,28938.05,1725747.47
2020-08-24,59.99,63.04,60.56,62.16,57690.12,3585849.97
2020-08-25,56.53,62.26,62.16,58.62,62953.66,3699487.46
2020-08-26,57.03,59.22,58.62,58.14,34281.57,1993821.13
2020-08-27,53.94,59.32,58.14,56.09,67563.18,3835100.17
2020-08-28,55.39,58.26,56.09,57.4,47397.81,2709323.55
2020-08-29,56.9,58.21,57.4,56.99,30689.06,1766669.26
2020-08-30,56.99,62.88,56.99,62.88,41402.23,2496276.4
2020-08-31,60.58,63.64,62.88,60.96,38004.78,2356418.89
2020-09-01,59.8,64.36,60.96,62.69,114018.52,7147389.22
2020-09-02,56.1,63.2,62.69,58.12,91780.57,5431510.36
2020-09-03,45.54,58.66,58.12,47.55,154527.72,8256189.02
2020-09-04,46.46,52.4,47.55,50.54,145782.15,7210230.1
2020-09-05,45.08,51.32,50.54,47.45,141317.31,6849681.4
2020-09-06,46.45,49.2,47.45,47.95,52470.25,2515188.45
2020-09-07,45.3,49.12,47.95,48.82,85455.97,4048747.34
2020-09-08,46.01,49.31,48.82,47.42,89795.23,4302175.19
2020-09-09,46.57,48.87,47.42,47.83,44130.68,2107366.54
2020-09-10,47.83,49.48,47.83,48.73,41770.36,2036489.02
2020-09-11,47.4,49.33,48.73,48.99,58338.85,2832477.0
2020-09-12,48.44,51.31,48.99,50.86,40598.66,2010099.84
2020-09-13,47.26,50.86,50.86,48.11,37890.75,1863448.76
2020-09-14,47.17,49.68,48.11,49.1,46504.06,2257404.14
2020-09-15,48.2,50.36,49.1,48.32,45044.05,2221196.94
2020-09-16,47.0,48.78,48.32,47.74,43764.65,2101503.95
2020-09-17,47.74,49.64,47.74,48.88,37664.69,1828677.42
2020-09-18,47.49,49.06,48.88,48.45,38937.6,1888326.74
2020-09-19,48.0,49.0,48.45,48.58,16719.22,810308.55
2020-09-20,46.2,48.58,48.58,47.11,27067.0,1277741.89
2020-09-21,41.59,47.63,47.11,43.18,67745.22,2991773.62
2020-09-22,42.78,44.82,43.18,44.45,30338.12,1326194.62
2020-09-23,42.27,45.07,44.45,42.92,29997.0,1312252.05
2020-09-24,42.6,45.29,42.92,44.97,33009.67,1459930.02
2020-09-25,43.94,46.56,44.97,45.9,38940.05,1770782.47
2020-09-26,45.16,46.53,45.9,46.03,10275.67,472805.23
2020-09-27,44.64,46.61,46.03,46.02,17782.22,814075.94
2020-09-28,44.81,47.12,46.02,45.26,23248.33,1077840.78
2020-09-29,44.94,45.83,45.26,45.71,15447.71,702056.98
2020-09-30,45.43,46.66,45.71,46.21,17430.49,801784.1
2020-10-01,45.02,48.49,46.21,46.27,55334.69,2588203.85
2020-10-02,43.21,46.9,46.27,44.94,35554.76,1602696.25
2020-10-03,44.76,45.99,44.94,45.53,12580.07,572117.06
2020-10-04,45.31,47.04,45.53,46.71,8205.7,380364.62
2020-10-05,45.56,47.04,46.71,46.37,10824.91,499455.18
2020-10-06,45.58,48.23,46.37,46.01,48404.32,2256446.1
2020-10-07,45.02,46.92,46.01,46.62,16473.93,757015.54
2020-10-08,45.46,47.5,46.62,47.28,30247.39,1407650.8
2020-10-09,46.61,48.22,47.28,47.82,18318.88,869021.81
2020-10-10,47.8,50.49,47.82,48.8,31016.13,1533138.78
2020-10-11,48.8,51.23,48.8,50.55,18909.09,953044.04
2020-10-12,49.39,51.6,50.55,50.67,33846.11,1711820.83
